time                        eff             dt
1994-11-21/16:00:00       1.0214307    0.0077609231
1995-01-26/18:00:00      0.78572495     0.024582591
1995-03-04/21:00:00      0.83699912     0.096246268
1995-03-31/16:54:13      0.92154818     0.018301954
1995-05-08/03:05:00      0.72973756     0.070831933
1995-05-10/17:27:00      0.89427831     0.048288287
;   1995-05-11/17:37:00      0.58224509    -0.014689492
1995-05-11/17:37:00      0.47647902    0.056204605
1995-05-12/14:17:00      0.93021574     0.051240420
;    1995-05-22/00:30:00      0.53687387    -0.035027755
1995-05-23/00:00:00      0.91349348     0.053372619
1995-06-11/04:04:58      0.85745191     0.040656351
1995-07-01/00:00:00      0.85940574     0.054123640
1995-08-01/00:00:00      0.86736553     0.079700883
1995-09-01/00:00:00      0.87372488      0.10300158
1995-10-01/00:00:00      0.82175087      0.10419685
1995-11-01/00:00:00      0.75050430      0.10420804
1995-12-01/00:00:00      0.72696094      0.12757518
1996-01-08/00:00:00      0.80531661      0.18389687
1996-02-01/18:25:10      0.86121426    0.0026426367
1996-02-04/05:00:00      0.73387865      0.20162223
1996-02-11/13:22:36      0.87917678       0.002 ;  -0.0012191950
1996-02-14/14:00:00      0.95352959     0.047268049
1996-04-30/05:00:00      0.42888049      0.68061229
1996-05-15/13:19:00       1.0038268     0.018829896
1996-06-08/12:00:00       1.0898617    0.0046747800
1996-10-23/22:00:00       1.0352622    0.0042530765
1997-04-25/14:00:00       1.0458240    0.0044553958
1997-06-08/11:17:00      0.93266867     0.020882581
1997-08-12/15:00:00      0.94092648     0.026122653
1997-09-03/18:01:00       1.0698844    0.0070004371
1997-09-09/00:00:00      0.99415517    0.0044756215
1998-01-21/00:00:00      0.99136703    0.0052769485
1998-05-15/00:00:00       1.0246960    0.0046664336
1998-09-01/00:00:00       1.0315825    0.0033371442
1998-11-10/00:00:00      0.96447461    0.0051313964
1999-01-17/00:00:00      0.97283156    0.0059955583
1999-02-20/00:00:00      0.95766774    0.0035662235
1999-05-25/00:00:00      0.99746772    0.0040596997
1999-08-02/00:00:00       1.0191360    0.0047195801
1999-10-13/00:00:00      0.99675615    0.0055015456
2000-01-10/00:00:00       1.0032086    0.0035844708
2000-04-17/00:00:00       1.0259553    0.0071243819
2000-06-23/00:00:00      0.99496070    0.0049116500
