
;-----------------------------------------------------------------------------------------
; => Magnetosphere
;-----------------------------------------------------------------------------------------
                SCET                 WaveType  Rec.    Event_N       frlow_Peak     fhigh_Peak       Bxavg          Byavg          Bzavg          Bxrms          Byrms          Bzrms          Bx_pk          By_pk          Bz_pk          Exavg          Eyavg          Ezavg          Exrms          Eyrms          Ezrms          Ex_pk          Ey_pk          Ez_pk          B3_GSE_X       B3_GSE_Y       B3_GSE_Z       B3_GSM_X       B3_GSM_Y       B3_GSM_Z          Bmg          W_RAD_DIS       W_LSHELL        W_MLT      X_GSE_POS      Y_GSE_POS      Z_GSE_POS      X_GSM_POS      Y_GSM_POS      Z_GSM_POS       AE_INDEX          N_I3           N_PH        T_AVG_EL       T_AVG_EH       TPARA_EL       TPERP_EL       TPARA_EH       TPERP_EH       TANIS_EL       TANIS_EH       EVENT_LENGTH

       1998-10-26/15:24:04.250      Whistlers  TDSF   004514985          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.17764e-08   -1.88475e-09    0.00000e+00    3.02233e-01    3.09417e-01    0.00000e+00    1.12447e+00    1.35844e+00    0.00000e+00        -13.587         10.078         42.580        -13.694         25.793         35.305         45.818         10.490         11.902          8.620      38743.131     -54407.330       3931.841      38743.131     -48565.672      24839.332            NaN          0.017          0.347        192.051       1749.913        186.400        194.877       1434.858       1907.441          1.046          1.329      1.09173000e+00


       1998-11-13/22:35:10.512      Whistlers  TDSF   005927559          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.35093e-06   -6.98060e-07    0.00000e+00    6.96190e-01    7.43263e-01    0.00000e+00    3.80862e+00    3.73852e+00    0.00000e+00        -13.723         -3.691         46.727        -13.890         -0.515         46.820         48.840         10.237         10.279          7.402      21222.467     -61454.187       6020.463      21222.467     -60866.545      10398.399        745.043          0.024          0.512        226.390       1702.370        265.782        206.695       1564.541       1771.284          0.778          1.132      1.09173000e+00

       2000-04-09/21:18:47.129      Whistlers  TDSF   027488577          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05292e-06   -4.59271e-06    0.00000e+00    5.54851e-01    5.80730e-01    0.00000e+00    1.98936e+00    1.92837e+00    0.00000e+00         21.570        -46.867         21.223         21.668        -50.955         -6.802         55.787         11.445         14.130         18.676      -4794.328      72622.918      -5671.601      -4794.328      64588.177      33684.248        770.145          0.002          0.023         53.610        159.025         69.243         45.793        191.814        142.630          0.681          0.767      2.72933000e-01




;-----------------------------------------------------------------------------------------
; => Radiation Belts
;-----------------------------------------------------------------------------------------
       1998-10-26/11:06:58.919      Whistlers  TDSF   004497105          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.31636e-07   -6.85075e-07    0.00000e+00    9.94605e-01    1.07145e+00    0.00000e+00    3.51976e+00    3.41078e+00    0.00000e+00        236.865        295.167        347.288        236.235        430.855        149.649        513.651          4.225          5.326          3.983     -14128.742     -22882.235      -1864.065     -14128.742     -20649.823      10032.663            NaN         84.369         51.637         87.904       1766.502         88.012         87.850       1688.166       1805.670          0.998          1.070      2.72933000e-01
       1998-10-26/11:13:14.279      Whistlers  TDSF   004498364          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -4.43970e-07   -9.76175e-07    0.00000e+00    3.99112e-01    4.00882e-01    0.00000e+00    1.41935e+00    1.52569e+00    0.00000e+00        195.739        300.565        317.491        195.157        420.204        121.637        479.013          4.339          5.541          4.259     -12903.588     -24427.539      -1738.375     -12903.588     -21928.328      10902.950            NaN         41.334         23.730         75.454       1972.865         74.924         75.719       1866.843       2025.876          1.011          1.085      2.72933000e-01
