   Notable events in the life of the Wind 3D Plasma Experiment


This file is a log of all important events in the life of the WIND 3D Plasma
experiment.  It will be maintained by engineers and scientists that work with
the instrument.  This file is also used by the data analysis software to 
identify important events that may be observed in the data stream.

These events include:

Hardware or flight software related events such as:
(10)  * Generic Commands 
(11)  * System configuration changes
(12)  * Instrument configuration changes (ie. changes to sweep tables)
(13)  * Instrument resets or data glitches
(14)  * Major losses of telemetry
(15)  * Testing
(16)  * Code patches

Natural phenomena  (2x) such as:
(20)  * Generic phenomena
(2x)  * Apogee / Perigee  (with orbit #)
(2x)  * Bow shock crossings
(2x)  * Interplanetary shocks
(2x)  * Magnetopause crossings
(2x)  * Eclipses
(2x)  * Solar Events
(2x)  * Radio Bursts

And spacecraft related phenomena such as:
(30)  * Generic
(3x)  * Telemetry mode changes
(3x)  * Spacecraft manuevers 
(3x)  * Major changes in spin rate
(3x)  * Other instrument turn-ons or turn-offs or patches

Numbers in parenthesis are intended for organizing the type of events.
These are preliminary and may be refined later. 

I anticipate no more than a few entries per day in this log, otherwise this
log will become too cumbersome to be useful.  


Only lines that begin with a '!' will be interpreted by the analysis software.
Please follow the format of these "event" lines.  All other text lines are 
considered comments.

Please insure that all entries are in time order!

-Davin Larson  1995-1-17


!  1994-11-01/09:30:01  30   Launch 
Wind was launched on a Delta rocket at 4:30 am under clear skies.  With the
exception of a wayward shrimp boat hanging out in the booster impact zone, the
launch was uneventful.
General comments:
   "It was a blast!"  - Jan Lambert
   "Uplifting!"  - Dave Curtis

!  1994-11-15/12:52:28  10   Turn-on
3D Plasma instrument turned on for the first time in space.

???
SST High voltage turned on.


!  1994-11-15/12:54:00  30   New mode: <    2  S>

!  1994-11-15/12:57:50  10   PESA Reset (0)
!  1994-11-15/12:57:50  10   EESA Reset (0)

!  1994-11-15/12:58:36  10   MAIN Version: 10
!  1994-11-15/12:58:36  10   MAIN Reset (0)
!  1994-11-15/12:58:36  10   Command #5 (161) [a0d7000000] 

!  1994-11-15/13:02:26  10   MAIN Version: 11
!  1994-11-15/13:02:26  10   Command #8 (3) [a071882288] 

!  1994-11-15/13:07:48  10   Command #4 (252) [a1a800c080] 

!  1994-11-15/13:14:42  10   Command #2 (254) [a1a800c100] 

!  1994-11-15/13:26:58  10   Command #9 (7) [a1d2320066] 

!  1994-11-15/13:31:34  10   Command #10 (1) [a061000000] 

!  1994-11-15/14:06:50  10   Command #13 (3) [a1b0fc00f8] 

!  1994-11-15/14:12:12  10   Command #15 (2) [a1b0fc00f8] 

!  1994-11-15/14:17:34  10   Command #17 (2) [a1b0fc00f8] 

!  1994-11-15/14:22:56  10   Command #19 (2) [a1b0fc00f8] 

!  1994-11-15/14:28:18  10   Command #21 (2) [a1b0fc00f8] 

!  1994-11-15/14:32:54  10   Command #22 (1) [a1d2340000] 

!  1994-11-15/16:16:24  10   Command #3 (237) [a1e8100000] 

!  1994-11-15/16:17:10  10   Command #6 (3) [a1e4100000] 

!  1994-11-15/16:17:56  10   Command #10 (4) [a1e4100000] 

!  1994-11-15/16:18:42  10   Command #13 (3) [a1e4100000] 

!  1994-11-15/16:27:08  10   Command #16 (3) [a1e4100000] 

!  1994-11-15/16:27:54  10   Command #19 (3) [a1e4100000] 

!  1994-11-15/16:28:40  10   Command #22 (3) [a042000000] 

!  1994-11-15/16:29:26  10   Command #23 (1) [a1e4100000] 

!  1994-11-15/16:35:34  10   Command #28 (5) [a1e8100000] 

!  1994-11-15/16:36:20  10   Command #31 (3) [a1e8100000] 

