           Start Time           Stop Time 
           1998 225  0.00000    1998 226  0.00000
Formats and units:
    Day/Time format: YY/MM/DD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

FORMAT='(a17,3f16.3,2f7.2,3f16.3,2f7.2,2f10.1)'

wind
       Time                           GSE (km)                         GSE                          GSM (km)                         GSM                DipInvLat
yy/mm/dd hh:mm:ss        X               Y               Z          Lat   Long         X               Y               Z          Lat   Long   DipL-Val   (Deg)  

98/08/13 00:00:00      321740.000      165147.250       -6516.158  -1.03  27.17      321740.000      162552.281      -29880.059  -4.74  26.80      57.2      82.4
98/08/13 00:12:00      321063.969      165209.406       -6490.626  -1.03  27.23      321063.969      162511.297      -30436.146  -4.83  26.85      57.0      82.3
98/08/13 00:24:00      320386.531      165271.078       -6465.069  -1.03  27.29      320386.531      162453.891      -31065.270  -4.94  26.89      56.8      82.3
98/08/13 00:36:00      319707.688      165332.172       -6439.478  -1.02  27.35      319707.688      162379.688      -31765.402  -5.06  26.93      56.6      82.3
98/08/13 00:48:00      319038.375      165371.938       -6413.862  -1.02  27.40      319038.375      162266.938      -32533.941  -5.19  26.96      56.5      82.3
98/08/13 01:00:00      318356.781      165431.984       -6388.210  -1.02  27.46      318356.781      162157.438      -33369.492  -5.34  26.99      56.3      82.3
98/08/13 01:12:00      317673.844      165491.609       -6362.531  -1.02  27.52      317673.844      162029.594      -34269.203  -5.49  27.02      56.2      82.3
98/08/13 01:24:00      316989.469      165550.562       -6336.824  -1.02  27.58      316989.469      161882.531      -35230.469  -5.65  27.05      56.1      82.3
98/08/13 01:36:00      316303.656      165609.078       -6311.086  -1.01  27.64      316303.656      161716.094      -36250.570  -5.83  27.08      56.0      82.3
98/08/13 01:48:00      315616.594      165666.906       -6285.315  -1.01  27.69      315616.594      161529.438      -37326.570  -6.01  27.10      55.9      82.3
98/08/13 02:00:00      314928.062      165724.234       -6259.514  -1.01  27.75      314928.062      161322.281      -38455.477  -6.20  27.12      55.8      82.3
98/08/13 02:12:00      314238.094      165780.953       -6233.687  -1.01  27.81      314238.094      161094.109      -39634.133  -6.40  27.14      55.7      82.3
98/08/13 02:24:00      313557.625      165816.609       -6207.828  -1.00  27.87      313557.625      160823.984      -40857.660  -6.61  27.15      55.6      82.3
98/08/13 02:36:00      312864.844      165872.250       -6181.937  -1.00  27.93      312864.844      160552.953      -42125.590  -6.83  27.17      55.5      82.2
98/08/13 02:48:00      312170.656      165927.344       -6156.017  -1.00  27.99      312170.656      160260.266      -43433.051  -7.06  27.17      55.5      82.2
98/08/13 03:00:00      311475.062      165981.859       -6130.067  -1.00  28.05      311475.062      159945.719      -44776.324  -7.29  27.18      55.4      82.2
98/08/13 03:12:00      310778.062      166035.656       -6104.088  -0.99  28.11      310778.062      159609.266      -46151.781  -7.53  27.18      55.3      82.2
98/08/13 03:24:00      310079.625      166088.984       -6078.077  -0.99  28.17      310079.625      159251.234      -47555.543  -7.77  27.18      55.3      82.2
98/08/13 03:36:00      309379.594      166141.906       -6052.040  -0.99  28.24      309379.594      158872.078      -48983.797  -8.02  27.18      55.3      82.2
98/08/13 03:48:00      308689.156      166173.734       -6025.969  -0.98  28.29      308689.156      158451.453      -50429.758  -8.27  27.17      55.2      82.2
98/08/13 04:00:00      307986.406      166225.266       -5999.869  -0.98  28.36      307986.406      158030.891      -51894.820  -8.53  27.16      55.2      82.2
98/08/13 04:12:00      307282.125      166276.297       -5973.737  -0.98  28.42      307282.125      157590.844      -53372.414  -8.79  27.15      55.1      82.2
98/08/13 04:24:00      306576.438      166326.641       -5947.577  -0.98  28.48      306576.438      157132.031      -54858.480  -9.05  27.14      55.1      82.2
98/08/13 04:36:00      305869.312      166376.469       -5921.382  -0.97  28.54      305869.312      156655.578      -56349.020  -9.31  27.12      55.1      82.2
98/08/13 04:48:00      305160.750      166425.500       -5895.161  -0.97  28.61      305160.750      156162.500      -57839.945  -9.58  27.10      55.0      82.2
98/08/13 05:00:00      304450.562      166474.016       -5868.907  -0.97  28.67      304450.562      155654.406      -59327.371  -9.84  27.08      55.0      82.2
98/08/13 05:12:00      303739.062      166521.906       -5842.626  -0.97  28.73      303739.062      155132.688      -60807.344 -10.11  27.06      54.9      82.2
98/08/13 05:24:00      303036.938      166549.406       -5816.314  -0.96  28.79      303036.938      154579.281      -62271.793 -10.37  27.03      54.9      82.2
98/08/13 05:36:00      302322.375      166596.078       -5789.969  -0.96  28.86      302322.375      154035.391      -63725.055 -10.64  27.00      54.8      82.2
98/08/13 05:48:00      301606.438      166642.078       -5763.593  -0.96  28.92      301606.438      153483.047      -65159.469 -10.90  26.97      54.8      82.2
98/08/13 06:00:00      300888.938      166687.453       -5737.191  -0.96  28.99      300888.938      152924.438      -66571.367 -11.16  26.94      54.7      82.2
98/08/13 06:12:00      300169.938      166732.234       -5710.754  -0.95  29.05      300169.938      152361.625      -67957.281 -11.41  26.91      54.6      82.2
